policy,scene_seed,success,false_confirmation,timeout,stopped,steps,total_reward,final_true_ratio,final_rgb_texture_ratio,final_height_ratio,actions
ppo_seed_202,6829056,1,0,0,1,10,3.55,0.1323,0.1388999968767166,0.13089999556541443,1-1-1-1-1-1-0-1-1-3
ppo_seed_202,4543021,1,0,0,1,4,4.449999999999999,0.1586,0.163100004196167,0.1565999984741211,1-1-0-3
ppo_seed_202,4992375,1,0,0,1,4,4.449999999999999,0.3449,0.23190000653266907,0.3418000042438507,0-0-0-3
ppo_seed_202,6518790,1,0,0,1,6,4.15,0.16,0.1574999988079071,0.15839999914169312,0-1-1-0-1-3
ppo_seed_202,6404461,1,0,0,1,7,4.0,0.3244,0.22609999775886536,0.3215999901294708,0-0-0-0-0-1-3
ppo_seed_202,4536985,1,0,0,1,3,4.6000000000000005,0.5412,0.08190000057220459,0.5354999899864197,0-1-3
ppo_seed_202,6161854,1,0,0,1,10,3.55,0.1811,0.17010000348091125,0.17880000174045563,0-0-0-0-1-0-1-1-1-3
ppo_seed_202,8297269,1,0,0,1,3,4.6000000000000005,0.2962,0.22419999539852142,0.2930999994277954,1-1-3
ppo_seed_202,7034407,1,0,0,1,6,4.15,0.4531,0.1444000005722046,0.4490000009536743,0-1-1-1-0-3
ppo_seed_202,3056044,1,0,0,1,9,3.6999999999999997,0.2647,0.22210000455379486,0.26249998807907104,0-0-0-0-0-1-1-0-3
ppo_seed_202,5606132,1,0,0,1,2,4.75,0.3459,0.22869999706745148,0.3424000144004822,0-3
ppo_seed_202,8107914,1,0,0,1,2,4.75,0.3106,0.22920000553131104,0.30820000171661377,1-3
ppo_seed_202,3453055,1,0,0,1,3,4.6000000000000005,0.3454,0.21770000457763672,0.3425000011920929,0-0-3
ppo_seed_202,6885598,1,0,0,1,5,4.3,0.4864,0.12039999663829803,0.4814999997615814,0-0-0-0-3
ppo_seed_202,6341685,1,0,0,1,4,4.449999999999999,0.2537,0.21699999272823334,0.25130000710487366,0-0-0-3
ppo_seed_202,7629946,1,0,0,1,2,4.75,0.3876,0.19300000369548798,0.3831000030040741,0-3
ppo_seed_202,2388395,1,0,0,1,3,4.6000000000000005,0.2225,0.21209999918937683,0.22040000557899475,0-0-3
ppo_seed_202,2701404,1,0,0,1,2,4.75,0.4258,0.17000000178813934,0.4219000041484833,0-3
ppo_seed_202,3401901,1,0,0,1,7,4.0,0.292,0.2264000028371811,0.28929999470710754,0-0-0-0-0-0-3
ppo_seed_202,7380225,1,0,0,1,9,3.6999999999999997,0.3282,0.23309999704360962,0.32519999146461487,0-0-0-0-0-0-0-1-3
ppo_seed_202,3285931,1,0,0,1,3,4.6000000000000005,0.316,0.23070000112056732,0.31279999017715454,1-1-3
ppo_seed_202,8298138,1,0,0,1,4,4.449999999999999,0.3357,0.21250000596046448,0.33230000734329224,1-1-1-3
ppo_seed_202,6358748,1,0,0,1,2,4.75,0.3226,0.23280000686645508,0.3197000026702881,0-3
ppo_seed_202,2454654,1,0,0,1,4,4.449999999999999,0.4043,0.19169999659061432,0.40119999647140503,0-0-0-3
ppo_seed_202,2033356,1,0,0,1,6,4.15,0.2332,0.20960000157356262,0.23090000450611115,0-0-0-0-0-3
ppo_seed_202,7455885,1,0,0,1,10,3.55,0.2073,0.19009999930858612,0.20499999821186066,0-0-0-0-0-1-1-1-1-3
ppo_seed_202,6575685,1,0,0,1,4,4.449999999999999,0.2657,0.22310000658035278,0.26330000162124634,1-1-1-3
ppo_seed_202,8152085,1,0,0,1,5,4.3,0.3515,0.21060000360012054,0.34790000319480896,0-0-0-1-3
ppo_seed_202,7151225,1,0,0,1,4,4.449999999999999,0.2721,0.23019999265670776,0.2694999873638153,0-0-0-3
ppo_seed_202,2906380,1,0,0,1,7,4.0,0.4471,0.15129999816417694,0.4424000084400177,0-0-0-1-0-1-3
ppo_seed_202,4525692,1,0,0,1,5,4.3,0.1742,0.16869999468326569,0.17270000278949738,1-1-0-1-3
ppo_seed_202,7976495,1,0,0,1,6,4.15,0.4408,0.15870000422000885,0.4372999966144562,0-0-0-1-1-3
ppo_seed_202,7819098,1,0,0,1,8,3.85,0.3266,0.23180000483989716,0.32409998774528503,0-0-0-0-1-1-0-3
ppo_seed_202,5915398,1,0,0,1,7,4.0,0.3934,0.19040000438690186,0.38940000534057617,0-0-0-0-0-0-3
ppo_seed_202,6925908,1,0,0,1,3,4.6000000000000005,0.2575,0.2159000039100647,0.2554999887943268,0-0-3
ppo_seed_202,8348350,1,0,0,1,4,4.449999999999999,0.4776,0.12960000336170197,0.47380000352859497,0-1-0-3
ppo_seed_202,3064477,1,0,0,1,2,4.75,0.411,0.18289999663829803,0.4068000018596649,0-3
ppo_seed_202,6394928,1,0,0,1,8,3.85,0.2924,0.22709999978542328,0.28949999809265137,0-1-0-1-1-1-0-3
ppo_seed_202,5635421,1,0,0,1,5,4.3,0.1492,0.15129999816417694,0.14800000190734863,1-1-0-1-3
ppo_seed_202,8497346,1,0,0,1,11,3.4,0.2844,0.23240000009536743,0.2809999883174896,0-0-0-0-0-0-1-1-1-1-3
ppo_seed_202,3975072,0,1,0,1,8,-3.35,0.1123,0.11760000139474869,0.11079999804496765,0-1-1-0-1-1-1-3
ppo_seed_202,7374364,1,0,0,1,6,4.15,0.4961,0.1128000020980835,0.49309998750686646,0-1-1-0-1-3
ppo_seed_202,5036638,1,0,0,1,7,4.0,0.1846,0.17870000004768372,0.1826000064611435,0-0-0-0-0-0-3
ppo_seed_202,7830823,1,0,0,1,9,3.6999999999999997,0.3268,0.2273000031709671,0.32350000739097595,0-0-0-0-0-0-1-1-3
ppo_seed_202,4252960,1,0,0,1,4,4.449999999999999,0.189,0.19020000100135803,0.18690000474452972,0-0-1-3
ppo_seed_202,4997968,1,0,0,1,4,4.449999999999999,0.5774,0.09049999713897705,0.5701000094413757,0-0-0-3
ppo_seed_202,5610234,1,0,0,1,7,4.0,0.4911,0.12039999663829803,0.4867999851703644,0-0-0-0-0-0-3
ppo_seed_202,6232940,1,0,0,1,5,4.3,0.1286,0.1298999935388565,0.1274999976158142,0-0-0-0-3
ppo_seed_202,6880837,1,0,0,1,8,3.85,0.1557,0.1582999974489212,0.1542000025510788,0-0-0-0-0-1-0-3
ppo_seed_202,4803520,1,0,0,1,7,4.0,0.2871,0.22370000183582306,0.28459998965263367,0-0-0-1-1-1-3
ppo_seed_202,6149021,1,0,0,1,6,4.15,0.3769,0.2029000073671341,0.37630000710487366,0-0-1-1-0-3
ppo_seed_202,8606393,1,0,0,1,8,3.85,0.492,0.12300000339746475,0.4875999987125397,0-0-1-1-1-0-1-3
ppo_seed_202,8461010,1,0,0,1,10,3.55,0.1376,0.13920000195503235,0.13609999418258667,0-0-0-0-1-1-0-1-1-3
ppo_seed_202,6500416,1,0,0,1,5,4.3,0.4316,0.16670000553131104,0.4296000003814697,0-0-0-0-3
ppo_seed_202,6336449,1,0,0,1,7,4.0,0.2477,0.226500004529953,0.2451000064611435,0-0-0-0-1-1-3
ppo_seed_202,6088531,1,0,0,1,5,4.3,0.2735,0.23149999976158142,0.2700999975204468,0-0-0-0-3
ppo_seed_202,4941839,1,0,0,1,2,4.75,0.2042,0.19529999792575836,0.20229999721050262,0-3
ppo_seed_202,8596547,1,0,0,1,3,4.6000000000000005,0.3275,0.22300000488758087,0.32519999146461487,1-1-3
ppo_seed_202,8749683,1,0,0,1,3,4.6000000000000005,0.2041,0.1882999986410141,0.20180000364780426,0-0-3
ppo_seed_202,3302425,1,0,0,1,2,4.75,0.2239,0.19850000739097595,0.22190000116825104,0-3
ppo_seed_202,5574480,1,0,0,1,10,3.55,0.1468,0.14959999918937683,0.14550000429153442,0-0-1-0-1-1-1-0-1-3
