#{"t_start": 1787939463.9337525, "env_id": "None"}
r,l,t
4.15,6,96.413719
4.3,5,96.446818
-3.05,2,96.47336
4.75,2,96.504936
3.7,9,96.541793
4.3,5,96.574014
3.7,9,96.611409
-3.3,7,96.644814
4.3,5,96.675712
-3.1,3,96.703642
4.75,2,96.736331
4.45,4,96.769839
4.0,7,96.802425
4.3,5,96.837528
4.15,6,96.869301
4.0,7,96.902332
4.3,5,96.927708
4.75,2,96.952256
3.55,10,96.988636
4.3,5,97.164792
3.55,10,97.204116
-3.1,3,97.227514
4.45,4,97.258209
4.3,5,97.291126
3.4,11,97.327318
-3.65,14,97.370723
-3.45,10,97.406736
4.15,6,97.442503
4.3,5,97.472108
4.0,7,97.502649
4.75,2,97.527858
4.3,5,97.563627
4.3,5,97.594514
4.15,6,97.62421
3.25,12,97.661716
-3.45,10,97.69572
-3.65,14,97.741658
4.3,5,97.776058
4.0,7,97.813199
-1.75,15,97.860141
-3.05,2,97.89026
4.45,4,97.920649
-3.2,5,97.955388
-3.35,8,97.994481
-3.55,12,98.03929
4.6,3,98.069077
-3.45,10,98.107351
-3.1,3,98.136859
-3.2,5,98.167957
4.75,2,98.191006
-3.4,9,98.225802
-1.75,15,98.273997
-3.0,1,98.29776
4.45,4,98.329369
4.0,7,98.363764
-3.2,5,98.402269
3.85,8,98.599728
3.7,9,98.63504
-3.1,3,98.661156
4.3,5,98.688063
4.6,3,98.718166
3.55,10,98.756246
-3.65,14,98.807633
3.7,9,98.845366
3.85,8,98.87826
-3.15,4,98.908823
4.0,7,98.944513
3.4,11,98.991155
-3.05,2,99.017482
-3.1,3,99.044909
-1.75,15,99.093857
4.45,4,99.121828
-1.75,15,99.16522
4.6,3,99.187627
4.45,4,99.214616
3.7,9,99.250254
-3.05,2,99.273517
4.45,4,99.298135
-3.1,3,99.322119
-3.3,7,99.352658
3.7,9,99.389003
-3.3,7,99.420771
4.0,7,99.454849
-3.2,5,99.485409
-3.15,4,99.511156
4.45,4,99.544689
4.3,5,99.57429
4.0,7,99.610109
-3.0,1,99.636095
-3.1,3,99.659429
-3.2,5,99.689448
4.3,5,99.719032
-3.05,2,99.746262
-3.2,5,99.779324
4.3,5,99.808768
3.85,8,99.845885
3.85,8,99.88582
4.15,6,99.918015
-3.1,3,100.092048
4.3,5,100.133951
4.3,5,100.164807
-3.45,10,100.20583
-3.2,5,100.241531
4.3,5,100.272482
-3.05,2,100.298043
4.45,4,100.329378
4.45,4,100.360811
-3.35,8,100.396902
4.0,7,100.431603
3.4,11,100.471148
4.75,2,100.497895
-3.1,3,100.525709
-3.0,1,100.552996
4.0,7,100.587362
4.9,1,100.607771
-3.35,8,100.641267
-3.15,4,100.669379
3.85,8,100.703182
4.3,5,100.729471
4.6,3,100.753363
3.85,8,100.785121
-3.2,5,100.814252
4.6,3,100.846805
3.7,9,100.884978
-3.05,2,100.911735
-3.45,10,100.951338
-3.25,6,100.982617
-1.75,15,101.027241
3.85,8,101.061372
4.45,4,101.098172
-3.0,1,101.13187
4.0,7,101.171951
4.15,6,101.208211
4.6,3,101.239919
3.7,9,101.277521
-3.45,10,101.313157
-3.1,3,101.337551
4.0,7,101.371876
-3.3,7,101.405841
4.75,2,101.43276
4.3,5,101.46329
-3.05,2,101.492233
3.7,9,101.527482
4.6,3,101.559633
4.0,7,101.758156
4.6,3,101.788422
-1.75,15,101.834202
4.3,5,101.871943
3.55,10,101.912653
4.3,5,101.942016
4.0,7,101.976629
4.3,5,102.007277
-3.7,15,102.052416
-3.4,9,102.087416
4.9,1,102.113086
4.15,6,102.154865
4.3,5,102.187111
4.15,6,102.217102
-3.35,8,102.254242
-3.4,9,102.28782
4.6,3,102.316598
4.75,2,102.340655
4.0,7,102.373605
-3.25,6,102.404493
4.6,3,102.427796
-3.4,9,102.466117
3.4,11,102.51794
-3.05,2,102.541701
-3.35,8,102.582561
-3.25,6,102.614344
4.45,4,102.645799
-3.4,9,102.691692
-3.3,7,102.725376
3.7,9,102.763965
-3.45,10,102.80347
3.4,11,102.843805
4.15,6,102.877585
4.3,5,102.906363
4.15,6,102.937441
3.85,8,102.97424
4.0,7,103.009917
-3.4,9,103.193801
4.3,5,103.223332
3.85,8,103.258346
-3.0,1,103.281415
-3.2,5,103.308853
3.55,10,103.342753
3.7,9,103.380362
4.45,4,103.414428
-3.3,7,103.449633
4.0,7,103.483789
-3.35,8,103.521974
3.7,9,103.563272
4.6,3,103.593421
4.75,2,103.621486
4.45,4,103.654959
4.15,6,103.686681
4.45,4,103.714194
4.15,6,103.743762
4.45,4,103.772738
3.4,11,103.81542
3.85,8,103.850787
4.45,4,103.875586
4.75,2,103.901938
4.75,2,103.926473
-3.35,8,103.959216
4.45,4,103.989994
-3.7,15,104.037344
4.15,6,104.077096
3.7,9,104.111889
4.15,6,104.141547
-3.1,3,104.168406
4.15,6,104.207504
3.7,9,104.242156
4.6,3,104.268951
4.45,4,104.297793
4.45,4,104.329335
-3.6,13,104.372449
3.55,10,104.407992
3.85,8,104.440566
4.45,4,104.469112
4.0,7,104.499799
4.3,5,104.672421
3.7,9,104.708875
-3.15,4,104.734903
4.0,7,104.769847
4.0,7,104.800109
4.45,4,104.825872
-1.75,15,104.867969
-3.45,10,104.906369
-3.25,6,104.93838
4.45,4,104.9662
-3.55,12,105.011279
-3.4,9,105.049908
-3.25,6,105.083438
4.3,5,105.117428
4.6,3,105.145834
-3.2,5,105.176422
-3.25,6,105.209424
-3.15,4,105.241601
2.95,14,105.289633
-3.3,7,105.321065
4.3,5,105.350654
4.6,3,105.375038
4.0,7,105.40701
3.85,8,105.441022
-3.5,11,105.479271
-3.55,12,105.519979
3.85,8,105.557239
-3.35,8,105.592
-3.0,1,105.612947
-3.1,3,105.643314
-3.2,5,105.672242
4.0,7,105.703109
3.55,10,105.736995
4.15,6,105.767268
4.45,4,105.806299
4.6,3,105.837023
4.0,7,105.874171
-3.65,14,106.086906
4.3,5,106.117916
3.85,8,106.152091
3.55,10,106.187977
3.55,10,106.224461
-3.1,3,106.254643
3.85,8,106.287927
4.0,7,106.31886
4.75,2,106.344724
4.0,7,106.375564
4.0,7,106.409231
