#{"t_start": 1787939897.3032408, "env_id": "None"}
r,l,t
4.75,2,49.462185
4.9,1,49.486831
3.7,9,49.523874
-1.75,15,49.575883
3.7,9,49.617075
4.6,3,49.651732
3.55,10,49.695474
3.85,8,49.736991
3.85,8,49.778496
3.4,11,49.822754
4.3,5,49.858206
4.75,2,49.889886
3.1,13,49.930017
4.3,5,49.961171
-3.25,6,49.99323
3.85,8,50.027502
4.3,5,50.056977
4.6,3,50.084894
4.3,5,50.253803
4.45,4,50.282324
4.6,3,50.309052
4.15,6,50.342952
-1.75,15,50.386432
3.25,12,50.426618
4.75,2,50.450253
4.45,4,50.482306
4.3,5,50.512929
4.0,7,50.545236
4.0,7,50.578692
4.45,4,50.608383
4.75,2,50.63423
4.0,7,50.663875
4.3,5,50.6941
4.45,4,50.727624
3.85,8,50.771922
4.6,3,50.796827
-3.4,9,50.838963
4.15,6,50.87639
3.85,8,50.907492
4.45,4,50.933134
4.75,2,50.956715
4.15,6,50.986403
4.15,6,51.014135
3.7,9,51.046187
4.3,5,51.076283
4.75,2,51.101233
-1.75,15,51.146101
4.75,2,51.177457
3.4,11,51.220887
4.3,5,51.248411
4.0,7,51.284129
-1.75,15,51.329278
4.3,5,51.362742
4.3,5,51.39441
3.85,8,51.43968
-1.75,15,51.493801
4.3,5,51.525813
3.7,9,51.711733
4.75,2,51.739637
4.6,3,51.769414
3.4,11,51.809195
-1.75,15,51.854997
4.45,4,51.882354
4.45,4,51.909777
3.85,8,51.943817
3.4,11,51.989432
3.7,9,52.02207
4.3,5,52.05004
4.75,2,52.073481
4.45,4,52.100654
4.0,7,52.135262
4.9,1,52.156746
4.75,2,52.182523
4.0,7,52.212572
4.6,3,52.239578
4.3,5,52.270643
4.3,5,52.297422
4.0,7,52.328438
4.3,5,52.358993
4.75,2,52.387353
4.3,5,52.417631
4.45,4,52.443949
4.6,3,52.470297
4.75,2,52.495943
3.7,9,52.532772
3.7,9,52.568311
4.75,2,52.592852
4.3,5,52.620102
4.15,6,52.65045
4.9,1,52.673351
3.7,9,52.709351
4.0,7,52.741994
4.0,7,52.777457
3.55,10,52.818783
3.85,8,52.858181
4.75,2,52.88511
4.75,2,52.914109
4.75,2,52.947727
4.45,4,52.980901
3.7,9,53.020333
4.3,5,53.055478
4.15,6,53.096395
4.6,3,53.141064
4.3,5,53.180145
4.75,2,53.221661
3.85,8,53.455023
4.45,4,53.481359
4.45,4,53.511654
3.7,9,53.551815
4.3,5,53.588054
