#{"t_start": 1787938173.2998667, "env_id": "None"}
r,l,t
3.85,8,140.159531
4.75,2,140.188187
4.75,2,140.21582
4.6,3,140.239774
4.6,3,140.266483
4.6,3,140.292237
4.9,1,140.317391
4.45,4,140.347099
4.45,4,140.376151
3.55,10,140.422817
3.85,8,140.453427
4.45,4,140.480567
4.75,2,140.507059
4.3,5,140.540294
-3.25,6,140.574544
4.3,5,140.603054
3.7,9,140.639597
4.9,1,140.672581
3.85,8,140.706147
-1.75,15,140.765443
3.25,12,140.818152
4.75,2,140.853936
4.45,4,140.89119
4.45,4,140.9263
4.6,3,140.956772
3.7,9,140.995612
4.75,2,141.023982
3.85,8,141.055981
4.45,4,141.08653
3.55,10,141.121985
3.85,8,141.160231
4.45,4,141.188142
3.7,9,141.226234
4.3,5,141.256885
4.6,3,141.282491
-1.75,15,141.324278
4.6,3,141.350824
3.7,9,141.385103
4.15,6,141.568612
4.3,5,141.598351
3.85,8,141.631534
4.45,4,141.65739
4.6,3,141.686594
4.3,5,141.716596
4.75,2,141.747863
3.4,11,141.786318
4.6,3,141.816789
3.55,10,141.855855
4.15,6,141.887235
4.6,3,141.915469
3.85,8,141.949304
4.75,2,141.974674
4.45,4,142.00612
3.7,9,142.043192
4.75,2,142.073108
4.45,4,142.108224
-1.75,15,142.157631
4.6,3,142.186835
-1.75,15,142.234946
4.75,2,142.260246
4.3,5,142.293707
4.6,3,142.322753
4.75,2,142.354021
4.0,7,142.386529
4.75,2,142.412141
4.3,5,142.442487
4.45,4,142.471753
4.45,4,142.501009
4.45,4,142.524885
4.6,3,142.553396
4.45,4,142.581158
3.7,9,142.61657
3.85,8,142.651958
4.3,5,142.685273
4.3,5,142.712781
4.6,3,142.738369
3.25,12,142.776345
3.85,8,142.81646
3.85,8,142.852902
4.75,2,142.875935
4.6,3,142.899556
3.7,9,142.931724
4.45,4,142.958385
-1.75,15,143.150164
4.15,6,143.189694
4.6,3,143.218189
3.4,11,143.256572
-1.75,15,143.298983
4.9,1,143.322359
3.4,11,143.367756
4.6,3,143.395842
4.0,7,143.426982
4.0,7,143.46506
4.6,3,143.49164
3.85,8,143.524176
4.75,2,143.54905
4.45,4,143.57822
4.15,6,143.613386
4.75,2,143.643305
4.45,4,143.676089
4.6,3,143.705798
4.45,4,143.732554
-1.75,15,143.779983
-1.75,15,143.832161
4.15,6,143.864511
4.3,5,143.898483
-1.75,15,143.945631
4.45,4,143.972576
4.0,7,144.004052
4.6,3,144.035061
4.3,5,144.068696
4.3,5,144.102927
4.15,6,144.136058
4.75,2,144.16799
4.45,4,144.196679
4.6,3,144.227376
-1.75,15,144.271644
4.0,7,144.306812
4.6,3,144.33391
4.45,4,144.361066
4.75,2,144.386613
4.15,6,144.41796
4.45,4,144.452648
4.75,2,144.477169
3.7,9,144.514863
4.6,3,144.692474
3.85,8,144.727027
4.45,4,144.756864
4.45,4,144.786665
3.25,12,144.824682
3.85,8,144.870878
3.85,8,144.906872
4.3,5,144.93435
4.0,7,144.963904
4.15,6,144.992079
-3.4,9,145.029733
4.6,3,145.05681
4.6,3,145.088234
4.15,6,145.121012
-1.75,15,145.167912
